,Cases
2009-01-04,67.0
2009-01-11,50.0
2009-01-18,46.0
2009-01-25,67.0
2009-02-01,60.0
2009-02-08,36.0
2009-02-15,43.0
2009-02-22,29.0
2009-03-01,52.0
2009-03-08,45.0
2009-03-15,42.0
2009-03-22,46.0
2009-03-29,53.0
2009-04-05,49.0
2009-04-12,52.0
2009-04-19,48.0
2009-04-26,57.0
2009-05-03,43.0
2009-05-10,37.0
2009-05-17,55.0
2009-05-24,55.0
2009-05-31,67.0
2009-06-07,78.0
2009-06-14,94.0
2009-06-21,90.0
2009-06-28,76.0
2009-07-05,73.0
2009-07-12,85.0
2009-07-19,30.0
2009-07-26,42.0
2009-08-02,75.0
2009-08-09,92.0
2009-08-16,75.0
2009-08-23,63.0
2009-08-30,56.0
2009-09-06,103.0
2009-09-13,81.0
2009-09-20,87.0
2009-09-27,72.0
2009-10-04,89.0
2009-10-11,62.0
2009-10-18,57.0
2009-10-25,74.0
2009-11-01,41.0
2009-11-08,12.0
2009-11-15,45.0
2009-11-22,57.0
2009-11-29,80.0
2009-12-06,76.0
2009-12-13,91.0
2009-12-20,85.0
2009-12-27,46.0
2010-01-03,96.0
2010-01-10,85.0
2010-01-17,63.0
2010-01-24,72.0
2010-01-31,76.0
2010-02-07,77.0
2010-02-14,58.0
2010-02-21,83.0
2010-02-28,62.0
2010-03-07,64.0
2010-03-14,48.0
2010-03-21,48.0
2010-03-28,44.0
2010-04-04,48.0
2010-04-11,29.0
2010-04-18,32.0
2010-04-25,49.0
2010-05-02,76.0
2010-05-09,88.0
2010-05-16,89.0
2010-05-23,107.0
2010-05-30,126.0
2010-06-06,151.0
2010-06-13,176.0
2010-06-20,253.0
2010-06-27,337.0
2010-07-04,345.0
2010-07-11,428.0
2010-07-18,435.0
2010-07-25,429.0
2010-08-01,355.0
2010-08-08,357.0
2010-08-15,339.0
2010-08-22,263.0
2010-08-29,239.0
2010-09-05,205.0
2010-09-12,184.0
2010-09-19,182.0
2010-09-26,171.0
2010-10-03,113.0
2010-10-10,93.0
2010-10-17,88.0
2010-10-24,53.0
2010-10-31,64.0
2010-11-07,71.0
2010-11-14,32.0
2010-11-21,36.0
2010-11-28,25.0
2010-12-05,32.0
2010-12-12,29.0
2010-12-19,14.0
2010-12-26,15.0
2011-01-02,47.0
2011-01-09,38.0
2011-01-16,37.0
2011-01-23,44.0
2011-01-30,34.0
2011-02-06,43.0
2011-02-13,45.0
2011-02-20,32.0
2011-02-27,46.0
2011-03-06,45.0
2011-03-13,52.0
2011-03-20,41.0
2011-03-27,29.0
2011-04-03,44.0
2011-04-10,46.0
2011-04-17,50.0
2011-04-24,40.0
2011-05-01,51.0
2011-05-08,42.0
2011-05-15,43.0
2011-05-22,37.0
2011-05-29,48.0
2011-06-05,54.0
2011-06-12,58.0
2011-06-19,70.0
2011-06-26,61.0
2011-07-03,83.0
2011-07-10,113.0
2011-07-17,108.0
2011-07-24,117.0
2011-07-31,95.0
2011-08-07,100.0
2011-08-14,120.0
2011-08-21,98.0
2011-08-28,79.0
2011-09-04,128.0
2011-09-11,66.0
2011-09-18,60.0
2011-09-25,72.0
2011-10-02,78.0
2011-10-09,72.0
2011-10-16,87.0
2011-10-23,67.0
2011-10-30,69.0
2011-11-06,63.0
2011-11-13,72.0
2011-11-20,78.0
2011-11-27,56.0
2011-12-04,50.0
2011-12-11,66.0
2011-12-18,64.0
2011-12-25,50.0
2012-01-01,88.0
2012-01-08,84.0
2012-01-15,81.0
2012-01-22,88.0
2012-01-29,102.0
2012-02-05,83.0
2012-02-12,91.0
2012-02-19,98.0
2012-02-26,84.0
2012-03-04,95.0
2012-03-11,122.0
2012-03-18,84.0
2012-03-25,92.0
2012-04-01,105.0
2012-04-08,100.0
2012-04-15,117.0
2012-04-22,114.0
2012-04-29,129.0
2012-05-06,164.0
2012-05-13,175.0
2012-05-20,172.0
2012-05-27,186.0
2012-06-03,242.0
2012-06-10,236.0
2012-06-17,279.0
2012-06-24,246.0
2012-07-01,130.0
2012-07-08,233.0
2012-07-15,190.0
2012-07-22,270.0
2012-07-29,242.0
2012-08-05,194.0
2012-08-12,200.0
2012-08-19,144.0
2012-08-26,79.0
2012-09-02,92.0
2012-09-09,120.0
2012-09-16,133.0
2012-09-23,131.0
2012-09-30,150.0
2012-10-07,105.0
2012-10-14,102.0
2012-10-21,74.0
2012-10-28,79.0
2012-11-04,49.0
2012-11-11,85.0
2012-11-18,79.0
2012-11-25,79.0
2012-12-02,70.0
2012-12-09,85.0
2012-12-16,84.0
2012-12-23,80.0
2013-01-06,48.0
2013-01-13,35.0
2013-01-20,77.0
2013-01-27,88.0
2013-02-03,101.0
2013-02-10,196.0
2013-02-17,172.0
2013-02-24,144.0
2013-03-03,147.0
2013-03-10,145.0
2013-03-17,108.0
2013-03-24,144.0
2013-03-31,125.0
2013-04-07,111.0
2013-04-14,121.0
2013-04-21,121.0
2013-04-28,100.0
2013-05-05,109.0
2013-05-12,125.0
2013-05-19,106.0
2013-05-26,127.0
2013-06-02,97.0
2013-06-09,110.0
2013-06-16,124.0
2013-06-23,143.0
2013-06-30,137.0
2013-07-07,183.0
2013-07-14,186.0
2013-07-21,199.0
2013-07-28,240.0
2013-08-04,223.0
2013-08-11,199.0
2013-08-18,204.0
2013-08-25,189.0
2013-09-01,158.0
2013-09-08,115.0
2013-09-15,203.0
2013-09-22,210.0
2013-09-29,166.0
2013-10-06,131.0
2013-10-13,106.0
2013-10-20,74.0
2013-10-27,103.0
2013-11-03,89.0
2013-11-10,86.0
2013-11-17,49.0
2013-11-24,74.0
2013-12-01,85.0
2013-12-08,88.0
2013-12-15,128.0
2013-12-22,103.0
2013-12-29,121.0
2014-01-05,31.0
2014-01-12,86.0
2014-01-19,55.0
2014-01-26,94.0
2014-02-02,78.0
2014-02-09,65.0
2014-02-16,82.0
2014-02-23,79.0
2014-03-02,66.0
2014-03-09,59.0
2014-03-16,52.0
2014-03-23,28.0
2014-03-30,38.0
2014-04-06,46.0
2014-04-13,40.0
2014-04-20,35.0
2014-04-27,47.0
2014-05-04,50.0
2014-05-11,57.0
2014-05-18,80.0
2014-05-25,87.0
2014-06-01,102.0
2014-06-08,94.0
2014-06-15,152.0
2014-06-22,183.0
2014-06-29,218.0
2014-07-06,194.0
2014-07-13,221.0
2014-07-20,265.0
2014-07-27,277.0
2014-08-03,157.0
2014-08-10,239.0
2014-08-17,249.0
2014-08-24,236.0
2014-08-31,185.0
2014-09-07,157.0
2014-09-14,152.0
2014-09-21,128.0
2014-09-28,131.0
2014-10-05,113.0
2014-10-12,85.0
2014-10-19,109.0
2014-10-26,100.0
2014-11-02,83.0
2014-11-09,80.0
2014-11-16,71.0
2014-11-23,65.0
2014-11-30,61.0
2014-12-07,66.0
2014-12-14,62.0
2014-12-21,48.0
2014-12-28,76.0
2015-01-04,80.0
2015-01-11,67.0
2015-01-18,51.0
2015-01-25,53.0
2015-02-01,51.0
2015-02-08,28.0
2015-02-15,33.0
2015-02-22,26.0
2015-03-01,19.0
2015-03-08,24.0
2015-03-15,16.0
2015-03-22,12.0
2015-03-29,17.0
2015-04-05,22.0
2015-04-12,17.0
2015-04-19,12.0
2015-04-26,20.0
2015-05-03,17.0
2015-05-10,26.0
2015-05-17,18.0
2015-05-24,16.0
2015-05-31,32.0
2015-06-07,24.0
2015-06-14,36.0
2015-06-21,33.0
2015-06-28,33.0
2015-07-05,51.0
2015-07-12,47.0
2015-07-19,72.0
2015-07-26,39.0
2015-08-02,46.0
2015-08-09,38.0
2015-08-16,41.0
2015-08-23,37.0
2015-08-30,33.0
2015-09-06,54.0
2015-09-13,43.0
2015-09-20,58.0
2015-09-27,64.0
2015-10-04,69.0
2015-10-11,41.0
2015-10-18,51.0
2015-10-25,49.0
2015-11-01,55.0
2015-11-08,78.0
2015-11-15,60.0
2015-11-22,60.0
2015-11-29,65.0
2015-12-06,89.0
2015-12-13,68.0
2015-12-20,85.0
2015-12-27,30.0
2016-01-03,78.0
2016-01-10,80.0
2016-01-17,92.0
2016-01-24,94.0
2016-01-31,85.0
2016-02-07,58.0
2016-02-14,59.0
2016-02-21,52.0
2016-02-28,48.0
2016-03-06,64.0
2016-03-13,31.0
2016-03-20,32.0
2016-03-27,45.0
2016-04-03,42.0
2016-04-10,40.0
2016-04-17,45.0
2016-04-24,42.0
2016-05-01,50.0
2016-05-08,42.0
2016-05-15,42.0
2016-05-22,49.0
2016-05-29,73.0
2016-06-05,92.0
2016-06-12,94.0
2016-06-19,131.0
2016-06-26,187.0
2016-07-03,237.0
2016-07-10,270.0
2016-07-17,354.0
2016-07-24,388.0
2016-07-31,368.0
2016-08-07,298.0
2016-08-14,258.0
2016-08-21,216.0
2016-08-28,118.0
2016-09-04,70.0
2016-09-11,107.0
2016-09-18,111.0
2016-09-25,99.0
2016-10-02,69.0
2016-10-09,75.0
2016-10-16,83.0
2016-10-23,72.0
2016-10-30,84.0
2016-11-06,103.0
2016-11-13,80.0
2016-11-20,86.0
2016-11-27,89.0
2016-12-04,82.0
2016-12-11,62.0
2016-12-18,74.0
2016-12-25,78.0
2017-01-01,58.0
2017-01-08,44.0
2017-01-15,70.0
2017-01-22,56.0
2017-01-29,48.0
2017-02-05,62.0
2017-02-12,51.0
2017-02-19,42.0
2017-02-26,47.0
2017-03-05,43.0
2017-03-12,25.0
2017-03-19,26.0
2017-03-26,20.0
2017-04-02,27.0
2017-04-09,22.0
2017-04-16,22.0
2017-04-23,19.0
2017-04-30,24.0
2017-05-07,35.0
2017-05-14,27.0
2017-05-21,30.0
2017-05-28,31.0
2017-06-04,22.0
2017-06-11,35.0
2017-06-18,49.0
2017-06-25,49.0
2017-07-02,48.0
2017-07-09,48.0
2017-07-16,43.0
2017-07-23,44.0
2017-07-30,50.0
2017-08-06,60.0
2017-08-13,64.0
2017-08-20,52.0
2017-08-27,52.0
2017-09-03,54.0
2017-09-10,32.0
2017-09-17,27.0
2017-09-24,32.0
2017-10-01,22.0
2017-10-08,11.0
2017-10-15,19.0
2017-10-22,20.0
2017-10-29,12.0
2017-11-05,11.0
2017-11-12,19.0
2017-11-19,18.0
2017-11-26,20.0
2017-12-03,29.0
2017-12-10,29.0
2017-12-17,22.0
2017-12-24,25.0
