index,AGDAO,BAGUIO,BUHANGIN,BUNAWAN,CALINAN,DISTRICT A,DISTRICT B,DISTRICT C,DISTRICT D,MARILOG,PAQUIBATO,TALOMO,TALOMO NORTH,TORIL,TUGBOK,TOTAL
2009-01-04,8.0,2.0,16.0,6.0,2.0,6.0,1.0,9.0,0.0,0.0,1.0,12.0,0.0,4.0,0.0,67.0
2009-01-11,4.0,0.0,10.0,7.0,1.0,2.0,2.0,5.0,1.0,1.0,0.0,16.0,0.0,0.0,1.0,50.0
2009-01-18,3.0,0.0,9.0,3.0,3.0,5.0,2.0,2.0,2.0,0.0,0.0,11.0,0.0,3.0,3.0,46.0
2009-01-25,3.0,1.0,22.0,3.0,2.0,8.0,3.0,3.0,3.0,1.0,0.0,15.0,0.0,3.0,0.0,67.0
2009-02-01,8.0,0.0,17.0,6.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,15.0,0.0,3.0,1.0,60.0
2009-02-08,5.0,0.0,7.0,2.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,11.0,0.0,3.0,0.0,36.0
2009-02-15,2.0,0.0,14.0,1.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,43.0
2009-02-22,3.0,1.0,3.0,6.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,29.0
2009-03-01,1.0,0.0,16.0,2.0,2.0,3.0,6.0,6.0,2.0,0.0,0.0,13.0,0.0,1.0,0.0,52.0
2009-03-08,3.0,0.0,11.0,2.0,1.0,4.0,2.0,6.0,2.0,0.0,0.0,13.0,0.0,1.0,0.0,45.0
2009-03-15,3.0,0.0,17.0,3.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,11.0,0.0,1.0,0.0,42.0
2009-03-22,9.0,0.0,7.0,2.0,4.0,2.0,4.0,3.0,4.0,0.0,0.0,9.0,0.0,2.0,0.0,46.0
2009-03-29,7.0,1.0,8.0,5.0,1.0,3.0,3.0,4.0,2.0,0.0,0.0,14.0,0.0,3.0,2.0,53.0
2009-04-05,9.0,0.0,12.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,8.0,0.0,4.0,1.0,49.0
2009-04-12,3.0,0.0,15.0,0.0,0.0,3.0,2.0,6.0,4.0,0.0,1.0,17.0,0.0,1.0,0.0,52.0
2009-04-19,6.0,0.0,12.0,4.0,1.0,4.0,3.0,3.0,2.0,0.0,1.0,10.0,0.0,2.0,0.0,48.0
2009-04-26,9.0,0.0,11.0,3.0,0.0,1.0,6.0,2.0,1.0,0.0,2.0,18.0,0.0,3.0,1.0,57.0
2009-05-03,3.0,0.0,10.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,19.0,0.0,2.0,0.0,43.0
2009-05-10,3.0,0.0,7.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,2.0,14.0,0.0,0.0,1.0,37.0
2009-05-17,3.0,1.0,13.0,3.0,3.0,2.0,7.0,1.0,1.0,0.0,0.0,18.0,0.0,1.0,2.0,55.0
2009-05-24,9.0,0.0,13.0,7.0,3.0,2.0,3.0,1.0,2.0,0.0,2.0,11.0,0.0,0.0,2.0,55.0
2009-05-31,4.0,0.0,19.0,6.0,3.0,1.0,3.0,3.0,0.0,1.0,1.0,18.0,0.0,6.0,2.0,67.0
2009-06-07,8.0,2.0,16.0,6.0,1.0,3.0,4.0,6.0,2.0,1.0,2.0,22.0,0.0,2.0,3.0,78.0
2009-06-14,9.0,0.0,20.0,5.0,1.0,5.0,2.0,4.0,2.0,0.0,3.0,38.0,0.0,1.0,4.0,94.0
2009-06-21,6.0,0.0,30.0,9.0,0.0,3.0,5.0,0.0,3.0,0.0,1.0,27.0,0.0,3.0,3.0,90.0
2009-06-28,4.0,0.0,25.0,3.0,0.0,2.0,1.0,5.0,0.0,0.0,4.0,27.0,0.0,2.0,3.0,76.0
2009-07-05,2.0,0.0,26.0,7.0,0.0,2.0,4.0,2.0,1.0,0.0,1.0,21.0,0.0,2.0,5.0,73.0
2009-07-12,3.0,0.0,23.0,2.0,3.0,2.0,12.0,3.0,3.0,2.0,2.0,23.0,0.0,4.0,3.0,85.0
2009-07-19,2.0,0.0,8.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,9.0,0.0,1.0,1.0,30.0
2009-07-26,1.0,0.0,10.0,3.0,1.0,1.0,0.0,3.0,4.0,0.0,1.0,12.0,0.0,2.0,4.0,42.0
2009-08-02,1.0,0.0,16.0,9.0,2.0,6.0,7.0,1.0,1.0,1.0,7.0,17.0,1.0,2.0,4.0,75.0
2009-08-09,2.0,0.0,35.0,3.0,2.0,2.0,6.0,5.0,5.0,1.0,2.0,23.0,0.0,2.0,4.0,92.0
2009-08-16,4.0,0.0,18.0,5.0,3.0,4.0,6.0,3.0,3.0,0.0,0.0,23.0,0.0,1.0,5.0,75.0
2009-08-23,3.0,0.0,22.0,4.0,1.0,4.0,4.0,2.0,3.0,0.0,0.0,15.0,0.0,3.0,2.0,63.0
2009-08-30,4.0,0.0,11.0,9.0,1.0,2.0,3.0,5.0,1.0,0.0,2.0,14.0,0.0,3.0,1.0,56.0
2009-09-06,6.0,0.0,24.0,6.0,0.0,7.0,3.0,7.0,6.0,0.0,1.0,33.0,0.0,4.0,6.0,103.0
2009-09-13,9.0,0.0,21.0,8.0,1.0,5.0,7.0,2.0,3.0,0.0,0.0,15.0,0.0,5.0,5.0,81.0
2009-09-20,7.0,1.0,21.0,8.0,1.0,10.0,7.0,2.0,6.0,0.0,0.0,16.0,0.0,1.0,7.0,87.0
2009-09-27,5.0,1.0,17.0,8.0,2.0,6.0,5.0,3.0,1.0,0.0,1.0,14.0,0.0,3.0,6.0,72.0
2009-10-04,13.0,0.0,15.0,5.0,4.0,11.0,7.0,3.0,0.0,0.0,3.0,22.0,0.0,4.0,2.0,89.0
2009-10-11,6.0,0.0,17.0,5.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,11.0,0.0,6.0,5.0,62.0
2009-10-18,4.0,1.0,19.0,1.0,3.0,6.0,4.0,4.0,6.0,0.0,0.0,7.0,0.0,1.0,1.0,57.0
2009-10-25,11.0,0.0,14.0,8.0,2.0,9.0,2.0,0.0,6.0,0.0,0.0,16.0,0.0,4.0,2.0,74.0
2009-11-01,3.0,0.0,12.0,7.0,0.0,2.0,1.0,5.0,3.0,0.0,1.0,5.0,0.0,2.0,0.0,41.0
2009-11-08,1.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0
2009-11-15,4.0,0.0,16.0,6.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,7.0,0.0,2.0,0.0,45.0
2009-11-22,4.0,0.0,17.0,4.0,0.0,1.0,3.0,4.0,5.0,1.0,3.0,12.0,0.0,2.0,1.0,57.0
2009-11-29,8.0,0.0,15.0,4.0,0.0,8.0,7.0,7.0,2.0,0.0,0.0,22.0,0.0,5.0,2.0,80.0
2009-12-06,3.0,1.0,26.0,5.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,24.0,0.0,5.0,4.0,76.0
2009-12-13,5.0,0.0,26.0,9.0,0.0,1.0,3.0,6.0,5.0,1.0,1.0,28.0,0.0,4.0,2.0,91.0
2009-12-20,4.0,0.0,16.0,9.0,2.0,3.0,4.0,1.0,5.0,1.0,5.0,24.0,0.0,4.0,7.0,85.0
2009-12-27,4.0,0.0,9.0,3.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0,13.0,0.0,3.0,1.0,46.0
2010-01-03,8.0,2.0,16.0,6.0,2.0,6.0,1.0,9.0,0.0,0.0,1.0,12.0,0.0,4.0,0.0,67.0
2010-01-10,4.0,0.0,10.0,7.0,1.0,2.0,2.0,5.0,1.0,1.0,0.0,16.0,0.0,0.0,1.0,50.0
2010-01-17,3.0,0.0,9.0,3.0,3.0,5.0,2.0,2.0,2.0,0.0,0.0,11.0,0.0,3.0,3.0,46.0
2010-01-24,3.0,1.0,22.0,3.0,2.0,8.0,3.0,3.0,3.0,1.0,0.0,15.0,0.0,3.0,0.0,67.0
2010-01-31,8.0,0.0,17.0,6.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,15.0,0.0,3.0,1.0,60.0
2010-02-07,5.0,0.0,7.0,2.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,11.0,0.0,3.0,0.0,36.0
2010-02-14,2.0,0.0,14.0,1.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,43.0
2010-02-21,3.0,1.0,3.0,6.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,29.0
2010-02-28,1.0,0.0,16.0,2.0,2.0,3.0,6.0,6.0,2.0,0.0,0.0,13.0,0.0,1.0,0.0,52.0
2010-03-07,3.0,0.0,11.0,2.0,1.0,4.0,2.0,6.0,2.0,0.0,0.0,13.0,0.0,1.0,0.0,45.0
2010-03-14,3.0,0.0,17.0,3.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,11.0,0.0,1.0,0.0,42.0
