DENGUE CASES IN DAVAO CITY BY DISTRICT 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,TOTAL
AGDAO,8,4,3,3,8,5,2,3,1,3,3,9,7,9,3,6,9,3,3,3,9,4,8,9,6,4,2,3,2,1,1,2,4,3,4,6,9,7,5,13,6,4,11,3,1,4,4,8,3,5,4,4,254
BAGUIO,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,12
BUHANGIN,16,10,9,22,17,7,14,3,16,11,17,7,8,12,15,12,11,10,7,13,13,19,16,20,30,25,26,23,8,10,16,35,18,22,11,24,21,21,17,15,17,19,14,12,3,16,17,15,26,26,16,9,817
BUNAWAN,6,7,3,3,6,2,1,6,2,2,3,2,5,2,0,4,3,0,1,3,7,6,6,5,9,3,7,2,0,3,9,3,5,4,9,6,8,8,8,5,5,1,8,7,1,6,4,4,5,9,9,3,236
CALINAN,2,1,3,2,0,3,1,0,2,1,0,4,1,1,0,1,0,0,1,3,3,3,1,1,0,0,0,3,0,1,2,2,3,1,1,0,1,1,2,4,1,3,2,0,0,1,0,0,1,0,2,2,67
DISTRICT A,6,2,5,8,3,0,6,3,3,4,2,2,3,4,3,4,1,1,1,2,2,1,3,5,3,2,2,2,1,1,6,2,4,4,2,7,5,10,6,11,0,6,9,2,0,1,1,8,3,1,3,3,179
DISTRICT B,1,2,2,3,5,0,3,0,6,2,1,4,3,2,2,3,6,2,5,7,3,3,4,2,5,1,4,12,6,0,7,6,6,4,3,3,7,7,5,7,5,4,2,1,3,3,3,7,1,3,4,3,193
DISTRICT C,9,5,2,3,1,3,1,3,6,6,3,3,4,1,6,3,2,1,2,1,1,3,6,4,0,5,2,3,1,3,1,5,3,2,5,7,2,2,3,3,5,4,0,5,1,2,4,7,1,6,1,2,164
DISTRICT D,0,1,2,3,1,2,0,0,2,2,1,4,2,2,4,2,1,2,0,1,2,0,2,2,3,0,1,3,1,4,1,5,3,3,1,6,3,6,1,0,0,6,6,3,1,3,5,2,1,5,5,3,119
MARILOG,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,14
PAQUIBATO,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,2,0,2,1,2,3,1,4,1,2,0,1,7,2,0,0,2,1,0,0,1,3,0,0,0,1,0,0,3,0,1,1,5,0,55
TALOMO,12,16,11,15,15,11,13,9,13,13,11,9,14,8,17,10,18,19,14,18,11,18,22,38,27,27,21,23,9,12,17,23,23,15,14,33,15,16,14,22,11,7,16,5,2,7,12,22,24,28,24,13,837
TALOMO NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TORIL,4,0,3,3,3,3,2,0,1,1,1,2,3,4,1,2,3,2,0,1,0,6,2,1,3,2,2,4,1,2,2,2,1,3,3,4,5,1,3,4,6,1,4,2,0,2,2,5,5,4,4,3,128
TUGBOK,0,1,3,0,1,0,0,1,0,0,0,0,2,1,0,0,1,0,1,2,2,2,3,4,3,3,5,3,1,4,4,4,5,2,1,6,5,7,6,2,5,1,2,0,0,0,1,2,4,2,7,1,110
TOTAL,67,50,46,67,60,36,43,29,52,45,42,46,53,49,52,48,57,43,37,55,55,67,78,94,90,76,73,85,30,42,75,92,75,63,56,103,81,87,72,89,62,57,74,41,12,45,57,80,76,91,85,46,3186
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
