DENGUE CASES IN DAVAO CITY BY DISTRICT 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORBIDITYWEEK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,TOTAL
AGDAO,5,3,7,10,11,12,9,12,13,9,3,6,8,4,5,10,11,5,9,10,12,3,9,6,6,15,16,24,24,29,24,20,33,24,23,16,17,28,17,14,11,8,15,11,10,3,7,9,14,9,11,12,642
BAGUIO,0,0,1,1,4,7,5,1,3,0,3,5,2,2,1,8,4,7,4,5,0,2,0,1,1,0,4,2,0,4,4,1,1,0,2,2,1,1,3,0,0,1,0,1,0,0,0,0,0,2,1,0,97
BUHANGIN,14,7,11,14,17,32,25,31,29,19,19,24,21,19,15,15,11,16,20,9,19,19,18,31,32,19,31,37,35,43,31,33,44,38,29,24,28,49,31,29,14,12,18,19,21,15,16,13,17,19,10,22,1184
BUNAWAN,1,1,7,3,4,13,3,5,8,5,4,7,5,7,3,3,3,6,7,9,10,9,5,10,4,7,9,8,9,11,18,15,12,12,12,3,18,14,16,4,7,2,7,2,9,1,10,7,6,12,3,5,381
CALINAN,2,1,2,3,9,22,33,6,13,16,14,16,8,13,13,16,7,13,3,11,4,6,6,5,5,8,3,3,1,4,5,1,1,2,4,2,4,9,3,0,5,2,2,3,1,1,1,3,0,3,4,3,325
DISTRICT A,0,0,4,2,3,8,5,3,4,7,4,3,6,3,8,5,6,2,4,0,11,5,7,9,5,7,11,16,7,11,13,5,7,11,9,6,15,11,4,12,9,5,4,7,3,2,4,4,5,5,4,1,312
DISTRICT B,2,0,3,10,5,7,7,10,6,5,10,7,3,5,5,8,6,2,7,7,8,8,7,7,17,13,11,7,17,18,12,12,19,9,4,16,14,10,11,6,4,5,1,2,5,1,3,7,5,6,6,5,391
DISTRICT C,2,3,2,1,0,2,2,3,5,5,3,1,3,3,4,3,2,1,1,1,5,3,4,1,4,4,4,10,7,9,8,7,8,4,8,1,21,7,7,8,8,4,6,3,3,2,1,5,3,6,4,5,227
DISTRICT D,1,1,4,1,3,5,6,5,4,8,5,2,7,5,3,2,2,6,5,2,9,3,6,3,4,6,9,2,6,5,4,6,5,9,5,4,5,11,3,3,3,6,5,6,3,1,2,1,1,12,1,3,229
MARILOG,0,0,2,0,2,4,7,3,1,4,2,2,1,1,4,3,3,1,0,2,0,0,0,0,1,2,1,3,1,1,4,2,2,0,0,0,1,0,3,0,2,0,1,1,0,0,0,1,1,0,3,1,73
PAQUIBATO,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,1,0,1,0,0,0,1,1,1,0,0,20
SASA,4,2,9,3,6,8,8,6,7,17,4,10,4,5,7,3,3,4,2,4,6,5,1,0,6,10,4,3,8,16,11,11,11,10,7,6,9,10,4,8,8,2,9,8,2,5,3,7,6,4,6,13,335
TALOMO NORTH,8,7,5,12,5,23,14,18,14,13,8,13,21,13,14,10,14,14,16,6,11,15,16,13,23,20,35,30,33,37,33,31,29,28,22,20,26,22,20,12,14,9,12,8,12,3,7,10,9,18,20,18,864
TALOMO SOUTH,6,7,15,21,19,25,32,23,23,25,17,29,17,13,25,17,15,17,30,28,25,14,23,26,28,18,35,32,37,43,38,42,21,28,24,10,31,30,34,20,11,14,16,11,12,8,15,11,16,24,19,22,1142
TORIL,2,1,1,6,8,18,5,13,8,9,6,14,16,16,9,12,9,13,14,11,6,3,4,2,2,5,4,2,8,2,10,8,7,6,4,2,9,5,3,5,3,1,2,4,3,1,1,6,3,5,7,6,330
TUGBOK,1,2,3,0,5,9,10,5,8,3,6,5,3,2,4,5,4,2,3,1,1,2,4,9,4,3,5,7,6,7,7,5,4,8,5,2,4,3,6,8,7,2,5,2,2,6,4,0,1,2,4,5,221
TOTAL,48,35,77,88,101,196,172,144,147,145,108,144,125,111,121,121,100,109,125,106,127,97,110,124,143,137,183,186,199,240,223,199,204,189,158,115,203,210,166,131,106,74,103,89,86,49,74,85,88,128,103,121,6773
